City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Balkanabat,TM,39.5108,54.3671,57.43,48,100,9.75,overcast clouds
317,General Teran,MX,25.2667,-99.6833,58.24,63,100,3.51,overcast clouds
318,Lorengau,PG,-2.0226,147.2712,80.42,82,67,7.74,broken clouds
319,Perth,AU,-31.9333,115.8333,75.2,70,0,8.05,light rain
320,Vilhena,BR,-12.7406,-60.1458,75.42,88,75,12.66,broken clouds
321,Capaci,IT,38.1711,13.2393,60.13,51,0,13.8,clear sky
322,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,23,6.67,few clouds
323,Borovoy,RU,55.4333,86.0833,-1.12,60,0,8.95,clear sky
324,Rongcheng,CN,30.634,117.8517,42.75,89,100,3.15,light rain
325,Kapit,MY,2.0167,112.9333,74.03,99,99,1.14,moderate rain
326,Huambo,AO,-12.7761,15.7392,71.4,68,75,5.75,broken clouds
327,Kenai,US,60.5544,-151.2583,23.05,74,0,21.85,clear sky
328,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,73,75,6.71,broken clouds
329,Raton,US,36.9034,-104.4391,38.64,71,0,5.75,clear sky
330,Bujaru,BR,-1.515,-48.0447,82.42,81,40,3.98,scattered clouds
331,Batagay-Alyta,RU,67.8006,130.4114,-26.05,89,85,4.85,overcast clouds
332,Sola,VU,-13.8833,167.55,79.47,83,100,0.0,overcast clouds
333,Kalmar,SE,56.6616,16.3616,38.14,96,20,3.44,few clouds
334,Bathsheba,BB,13.2167,-59.5167,83.01,54,40,23.02,scattered clouds
335,Puerto Escondido,MX,15.85,-97.0667,81.54,52,14,1.92,few clouds
336,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,40,9.22,scattered clouds
337,Corning,US,42.1428,-77.0547,40.91,62,0,16.11,clear sky
338,Kaoma,ZM,-14.7833,24.8,71.56,89,100,3.15,moderate rain
339,Birin,NP,26.8865,88.0718,46.71,79,67,3.38,broken clouds
340,Ahipara,NZ,-35.1667,173.1667,72.54,96,90,9.62,overcast clouds
341,Victoria,HK,22.2855,114.1577,65.25,87,100,11.99,overcast clouds
342,Zeya,RU,53.75,127.2667,-5.71,93,34,3.89,scattered clouds
343,Cam Ranh,VN,11.9214,109.1591,76.96,83,40,11.5,scattered clouds
